abv,barcode,beer,brewer,description,location,name,sku,style
6.90%,100000000571,Cactus Red,101 Cider House,California cactus pears and locally grown thai basil,Los Angeles,101 Cider House Cactus Red 12oz,959777,Cider
6.90%,712131510036,SoCal Scrumpy,101 Cider House,"Dry, crisp cider made with quince, apples, and wild yeast native to California","Los Angeles,",101 Cider House SoCal Scrumpy 12oz,922263,Dry Cider
6.90%,,Piña Menta,101 Cider House,Cider infused with pineapples and mint. Tart with a refreshing mint finish,Los Angeles,,,Cider
5.00%,852892003368,Outcider,2 Towns Ciderhouse,"Jonagold apples are pressed, fermented, and left unfiltered, so you can experience their raw character.",Oregon,2 Towns Outcider Can,1591961,Cider
7.20%,,Batch 0001,21st Amendment,"Citrus, grapefruit, lemon lime, and tangerine, hints of tropical fruit, a little pine","San Leandro, CA",,,IPA
7.00%,,Brew Free! Or Die IPA,21st Amendment Brewery,Citrus and piney hop aromas with an assertive malt backbone ,San Francisco,,,IPA
4.90%,859612001000,Hell or High Watermelon,21st Amendment Brewery,Summer Seasonal - brewed with fresh watermelon,San Francisco,21A Fireside Chat/Hell or High Watermelon Can,851057,Wheat
9.70%,100000004302,Hop Crisis,21st Amendment Brewery,Imperial IPA aged on oak,San Francisco,21st Amendment Hop Crisis,990568,Double IPA
5.80%,,Golden Sunshine,21st Ammendment / Cigar City,Kettle-Soured Ale brewed with Valencia Oranges in Collaboration with Cigar City,"San Francisco, CA",,,Berliner Weisse
4.10%,,Apricot Landfall,32 North Brewing Co.,Tart German Berliner brewed with apricots. ,San Diego,,,Berliner Weisse with Apricots
4.10%,,Blackberry Landfall,32 North Brewing Co.,Tart German Berliner brewed with black currants,San Diego,,,Berliner Weisse
4.10%,,Maverick and Gose,32 North Brewing Co. ,"Tart, easy drinking sour wheat flavored with key lime.",San Diego,,,Gose with Key Lime
4.10%,,Black Currant Landfall,33 North Brewing Co.,Tart German Berliner brewed with black currants,San Diego,,,Berliner Weisse
8.20%,,Belter Bez,Abnormal + Stone Collaboration,"Strong Scotch Ale with Cacao Nibs, Red Oak Smoked Almonds, and Coconut",San Diego,,,Strong Scotch Ale
10.70%,,Guilty Pleasure Brue ,Abnormal + The Bruery collaboration,"Notes of red apple, plum, pear, tropical fruits and pine",San Diego,,,Hoppy Imperial Belgian Pale
9.00%,,Abbey Normal IIPA,Abnormal Beer Co,"Collaboration with The Lost Abbey and made especially for the Abnormal Dinner Series. Packed with hop aroma and flavors using 3.4 pounds per barrel of hops post boil. Light in color, not too much malt qualities, heavy on the pine and tropical fruit notes","San Diego, CA",,,Double IPA
10.70%,,All of the Lights,Abnormal Beer Co,"Collaboration w/ Mostra Coffee and J. Wakefield Brewing w/ coffee, nutella and lactose","San Diego, CA",,,Imperial Milk Porter
12.00%,,Alpha Voyager,Abnormal Beer Co,A collaboration with Shawn McIlhenney of Alpine Beer. The New Zealand and Mosaic hops give this a very tropical forward flavor and aroma.,"San Diego, CA",,,Triple IPA
10.00%,,Bill & Derek's Excellent Adventure,Abnormal Beer Co,"Collaboration with Mikkeller SD’s Bill Batten, this beer is a big Robust Porter that includes small additions of vanilla powder, sweet orange peel, Belgian candi sugar as well as a heavy addition of Ethiopian Yirgacheffe Coffee roasted by Mostra Coffee","San Diego, CA",,,Imperial Porter
6.50%,,Boys to the Yard,Abnormal Beer Co,Collab w/ Pizza Port’s Nacho Cervantes.  West Coast version of a Milkshake IPA w/ strawberry puree and lactose to add extra fruitiness and body to the beer and loads of Idaho 7 and El Dorado hops,"San Diego, CA",,,IPA
